# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
IndexesFlusher.totalFlushingTimeUs,1708438243309000000,1708438303316000000,185892
IndexesFlusher.totalFlushesRetried,1708438243309000000,1708438303316000000,0
IndexesFlusher.totalFlushes,1708438243309000000,1708438303316000000,59
IndexesFlusher.totalContentionQuotaSpent,1708438243309000000,1708438303316000000,0
FlushQueue.tasksExecuted,1708438243309000000,1708438303316000000,167
WriteAction.executionsCount,1708438243309000000,1708438303316000000,1
AWTEventQueue.dispatchTimeTotalNS,1708438243309000000,1708438303316000000,1690872963
FlushQueue.queueSizeMax,1708438243309000000,1708438303316000000,26
AWTEventQueue.dispatchTime90PNs,1708438243309000000,1708438303316000000,782335
AWTEventQueue.dispatchTimeMaxNs,1708438243309000000,1708438303316000000,463470591
FlushQueue.executionTimeMaxNs,1708438243309000000,1708438303316000000,463470591
FlushQueue.executionTime90PNs,1708438243309000000,1708438303316000000,761855
AWTEventQueue.dispatchTimeAvgNs,1708438243309000000,1708438303316000000,1090790.2967741936
FlushQueue.waitingTimeAvgNs,1708438243309000000,1708438303316000000,3.295135702994012E7
FlushQueue.queueSize90P,1708438243309000000,1708438303316000000,11
FlushQueue.waitingTimeMaxNs,1708438243309000000,1708438303316000000,419430399
AWTEventQueue.eventsDispatched,1708438243309000000,1708438303316000000,1550
FlushQueue.queueSizeAvg,1708438243309000000,1708438303316000000,3.0059880239520957
FlushQueue.executionTimeAvgNs,1708438243309000000,1708438303316000000,4549600.526946108
FlushQueue.waitingTime90PNs,1708438243309000000,1708438303316000000,94896127
ReadAction.executionsCount,1708438243309000000,1708438303316000000,45
StreamlinedBlobStorage.recordsRelocated,1708438243309000000,1708438303316000000,0
FilePageCache.maxCacheSizeInBytes,1708438243309000000,1708438303316000000,202391552
FilePageCacheLockFree.totalPagesRequestsMs,1708438243309000000,1708438303316000000,5
FilePageCache.uncachedFileAccess,1708438243309000000,1708438303316000000,111
StorageLockContext.competingThreads.90P,1708438243309000000,1708438303316000000,0
StreamlinedBlobStorage.recordsDeleted,1708438243309000000,1708438303316000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1708438243309000000,1708438303316000000,232
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1708438243309000000,1708438303316000000,1284
FilePageCache.pageLoadsAboveSizeThreshold,1708438243309000000,1708438303316000000,0
MappedFileStorage.totalBytesMapped,1708438243309000000,1708438303316000000,98566144
StreamlinedBlobStorage.recordsAllocated,1708438243309000000,1708438303316000000,18
FilePageCacheLockFree.nativeBytesInUse,1708438243309000000,1708438303316000000,16384
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1708438243309000000,1708438303316000000,0
DirectByteBufferAllocator.hits,1708438243309000000,1708438303316000000,3
FilePageCacheLockFree.totalBytesRequested,1708438243309000000,1708438303316000000,163840
FilePageCache.totalPageLoadsUs,1708438243309000000,1708438303316000000,390087
FilePageCacheLockFree.totalBytesRead,1708438243309000000,1708438303316000000,16
FilePageCacheLockFree.totalPagesReadMs,1708438243309000000,1708438303316000000,3
FilePageCacheLockFree.totalPagesAllocated,1708438243309000000,1708438303316000000,2
FilePageCacheLockFree.heapBytesInUse,1708438243309000000,1708438303316000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1708438243309000000,1708438303316000000,0
DirectByteBufferAllocator.disposed,1708438243309000000,1708438303316000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1708438243309000000,1708438303316000000,0
FilePageCache.pageLoads,1708438243309000000,1708438303316000000,198
StorageLockContext.competingThreads.avg,1708438243309000000,1708438303316000000,0.008403361344537815
MappedFileStorage.storages,1708438243309000000,1708438303316000000,6
FilePageCache.disposedBuffers,1708438243309000000,1708438303316000000,3
FilePageCache.pageHits,1708438243309000000,1708438303316000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1708438243309000000,1708438303316000000,0
FilePageCache.capacityInBytes,1708438243309000000,1708438303316000000,503316478
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1708438243309000000,1708438303316000000,241
FilePageCacheLockFree.housekeeperTurnsSkipped,1708438243309000000,1708438303316000000,52803
FilePageCacheLockFree.totalPagesWritten,1708438243309000000,1708438303316000000,3
FilePageCache.totalPageDisposalsUs,1708438243309000000,1708438303316000000,782
FilePageCache.maxRegisteredFiles,1708438243309000000,1708438303316000000,534
FilePageCacheLockFree.totalNativeBytesAllocated,1708438243309000000,1708438303316000000,16384
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1708438243309000000,1708438303316000000,202407936
FilePageCacheLockFree.totalBytesWritten,1708438243309000000,1708438303316000000,990
MappedFileStorage.totalPagesMapped,1708438243309000000,1708438303316000000,6
FilePageCacheLockFree.totalPagesRequested,1708438243309000000,1708438303316000000,20
